stim,correct_key,set_size,block,img_folder,stim_img,trial_type
1.0,1.0,2.0,1.0,7.0,1.0,0.0
2.0,2.0,2.0,1.0,7.0,2.0,0.0
1.0,1.0,2.0,1.0,7.0,1.0,0.0
2.0,2.0,2.0,1.0,7.0,2.0,0.0
1.0,1.0,2.0,1.0,7.0,1.0,0.0
2.0,2.0,2.0,1.0,7.0,2.0,0.0
1.0,1.0,2.0,1.0,7.0,1.0,0.0
2.0,2.0,2.0,1.0,7.0,2.0,0.0
2.0,2.0,2.0,1.0,7.0,2.0,0.0
1.0,1.0,2.0,1.0,7.0,1.0,0.0
2.0,2.0,2.0,1.0,7.0,2.0,0.0
1.0,1.0,2.0,1.0,7.0,1.0,0.0
1.0,1.0,2.0,1.0,7.0,1.0,0.0
2.0,2.0,2.0,1.0,7.0,2.0,0.0
2.0,2.0,2.0,1.0,7.0,2.0,0.0
1.0,1.0,2.0,1.0,7.0,1.0,0.0
1.0,1.0,2.0,1.0,7.0,1.0,0.0
2.0,2.0,2.0,1.0,7.0,2.0,0.0
1.0,1.0,2.0,1.0,7.0,1.0,0.0
2.0,2.0,2.0,1.0,7.0,2.0,0.0
2.0,2.0,2.0,1.0,7.0,2.0,0.0
1.0,1.0,2.0,1.0,7.0,1.0,0.0
1.0,1.0,2.0,1.0,7.0,1.0,0.0
2.0,2.0,2.0,1.0,7.0,2.0,0.0
1.0,1.0,2.0,1.0,7.0,1.0,0.0
2.0,2.0,2.0,1.0,7.0,2.0,0.0
2.0,1.0,2.0,2.0,1.0,1.0,0.0
1.0,0.0,2.0,2.0,1.0,2.0,0.0
1.0,0.0,2.0,2.0,1.0,2.0,0.0
2.0,1.0,2.0,2.0,1.0,1.0,0.0
1.0,0.0,2.0,2.0,1.0,2.0,0.0
2.0,1.0,2.0,2.0,1.0,1.0,0.0
2.0,1.0,2.0,2.0,1.0,1.0,0.0
1.0,0.0,2.0,2.0,1.0,2.0,0.0
1.0,0.0,2.0,2.0,1.0,2.0,0.0
2.0,1.0,2.0,2.0,1.0,1.0,0.0
1.0,0.0,2.0,2.0,1.0,2.0,0.0
2.0,1.0,2.0,2.0,1.0,1.0,0.0
2.0,1.0,2.0,2.0,1.0,1.0,0.0
1.0,0.0,2.0,2.0,1.0,2.0,0.0
1.0,0.0,2.0,2.0,1.0,2.0,0.0
2.0,1.0,2.0,2.0,1.0,1.0,0.0
1.0,0.0,2.0,2.0,1.0,2.0,0.0
2.0,1.0,2.0,2.0,1.0,1.0,0.0
2.0,1.0,2.0,2.0,1.0,1.0,0.0
1.0,0.0,2.0,2.0,1.0,2.0,0.0
1.0,0.0,2.0,2.0,1.0,2.0,0.0
2.0,1.0,2.0,2.0,1.0,1.0,0.0
2.0,1.0,2.0,2.0,1.0,1.0,0.0
1.0,0.0,2.0,2.0,1.0,2.0,0.0
2.0,1.0,2.0,2.0,1.0,1.0,0.0
1.0,0.0,2.0,2.0,1.0,2.0,0.0
