stim,correct_key,set_size,block,img_folder,condition
6,2,6,1,3,0
4,1,6,1,3,0
1,0,6,1,3,0
3,1,6,1,3,0
5,2,6,1,3,0
2,0,6,1,3,0
3,1,6,1,3,0
2,0,6,1,3,0
4,1,6,1,3,0
1,0,6,1,3,0
6,2,6,1,3,0
5,2,6,1,3,0
5,2,6,1,3,0
6,2,6,1,3,0
2,0,6,1,3,0
4,1,6,1,3,0
3,1,6,1,3,0
1,0,6,1,3,0
2,0,6,1,3,0
3,1,6,1,3,0
1,0,6,1,3,0
5,2,6,1,3,0
6,2,6,1,3,0
4,1,6,1,3,0
5,2,6,1,3,0
3,1,6,1,3,0
4,1,6,1,3,0
1,0,6,1,3,0
2,0,6,1,3,0
6,2,6,1,3,0
2,0,6,1,3,0
6,2,6,1,3,0
5,2,6,1,3,0
3,1,6,1,3,0
1,0,6,1,3,0
4,1,6,1,3,0
6,2,6,1,3,0
4,1,6,1,3,0
3,1,6,1,3,0
5,2,6,1,3,0
2,0,6,1,3,0
1,0,6,1,3,0
2,0,6,1,3,0
5,2,6,1,3,0
1,0,6,1,3,0
3,1,6,1,3,0
4,1,6,1,3,0
6,2,6,1,3,0
3,1,6,1,3,0
1,0,6,1,3,0
5,2,6,1,3,0
4,1,6,1,3,0
2,0,6,1,3,0
6,2,6,1,3,0
4,1,6,1,3,0
6,2,6,1,3,0
1,0,6,1,3,0
5,2,6,1,3,0
3,1,6,1,3,0
2,0,6,1,3,0
2,1,2,2,2,1
1,0,2,2,2,1
2,1,2,2,2,1
1,0,2,2,2,1
2,1,2,2,2,1
1,0,2,2,2,1
1,0,2,2,2,1
2,1,2,2,2,1
2,1,2,2,2,1
1,0,2,2,2,1
2,1,2,2,2,1
1,0,2,2,2,1
1,0,2,2,2,1
2,1,2,2,2,1
2,1,2,2,2,1
1,0,2,2,2,1
2,1,2,2,2,1
1,0,2,2,2,1
1,0,2,2,2,1
2,1,2,2,2,1
